Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Components,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affected services),Custom field (Allocation),Custom field (App Version),Custom field (Approvals),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Category),Custom field (Countermeasure),Custom field (Custom1),Custom field (Date),Custom field (Defect Group),Custom field (Department_whom ),Custom field (Design),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Failure location),Custom field (Gating Stage),Custom field (Issue color),Custom field (Location),Custom field (Locked forms),Custom field (Model),Custom field (Open forms),Custom field (Opportunity value),Custom field (Parts number),Custom field (Progress),Custom field (QE),Custom field (RD Analysis),Custom field (Rank),Custom field (Recovery Method),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Resolve Date),Custom field (Resolver),Custom field (Rework Request form),Satisfaction rating,Custom field (Satisfaction date),Custom field (Serial Number),Custom field (Severity),Custom field (Software Version),Custom field (Stage),Custom field (Start date),Custom field (Status),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (VendorCR),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (responsible),Custom field (uuid),Comment,Comment,Comment,Comment,Status Category,Status Category Changed
[XG32WCMS]OSD選單中，Color->Color Temp.下的選單User mode應該是User才對。,MONMTK-679,124267,Bug,Closed,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,C,Fixed,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,05/Mar/24 6:26 PM,14/Mar/24 9:14 AM,20/Mar/24 6:10 PM,12/Mar/24 11:46 PM,XG32WCMS,,0,,"Phenomenon:
        OSD選單中，Color->Color Temp.下的選單User mode應該是User才對。

Setup:
        FW:012

Procedures:
        [Step1]打開OSD選單，Color->Color Temp.->User mode
Expected Result: 
         User mode需移除掉mode此字，獨留下User 。

*Reproduce rate: 100",,Bruce Wu,Jason Huang,,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,557058:33e8fddc-2108-410c-95ff-830c0f242236,,,,,,,,,,05/Mar/24 6:27 PM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;OSD tree內容.png;https://amtran.atlassian.net/rest/api/3/attachment/content/109694,05/Mar/24 6:27 PM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;OSD選單錯誤的部分.png;https://amtran.atlassian.net/rest/api/3/attachment/content/109695,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@64b80457,,,Software,,,,,,,,,,,,,,,,,,,,,,,,0|i0bzjr:,Cannot recover even try any methods,,,,,,,,,,,,DVT,,,,,,,,,,https://amtran.atlassian.net/browse/XG32WCMS63-267,,2024-03-12 15:46:43.758,1_*:*_1_*:*_623984757_*|*_5_*:*_1_*:*_0,,,12/Mar/24 11:46 PM;557058:33e8fddc-2108-410c-95ff-830c0f242236;MCE013,,,,Done,12/Mar/24 11:46 PM
"[XG32WCMS] 使用ASUS笔记本FA507,在Typec source 下，连接780M，分辨率1600x1220@60hz切换到1920x1080@60hz，屏幕右边画面卡顿",MONMTK-678,124263,Bug,Open,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,B,,stan_chang,61825a23702bd0006a50d648,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,05/Mar/24 6:02 PM,14/Mar/24 8:37 PM,20/Mar/24 6:10 PM,,XG32WCMS,,0,,"現象：使用ASUS笔记本FA507,在Typec source 下，连接780M，分辨率1600x1220@60hz切换到1920x1080@60hz，屏幕右边画面卡顿

手法：
    1. Typec source连接780M 显示器设置displayport 1.4
    2. 分辨率从1600x1220@60hz切换到1920x1080@60hz
    3. 屏幕右边画面卡顿，可參考影片

Typec source连接780M 显示器设置displayport 1.2，分辨率1024x768@60hz切换到1280x720@60hz，屏幕右边画面也会有卡顿",,Jason Huang,,,557058:33e8fddc-2108-410c-95ff-830c0f242236,,,,,,,,,,,05/Mar/24 6:02 PM;jason.huang;16ab804964133793f4d46b191671c319.mp4;https://amtran.atlassian.net/rest/api/3/attachment/content/109693,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@24d08013,,,,,,,,,,,,,,,,PMP,,,,,,,,,,,0|i0bziv:,Cannot recover even try any methods,,,,,,,,,,,,PVT,,,,,,,,,,https://amtran.atlassian.net/browse/XG32WCMS63-217,,,,,,,,,,To Do,05/Mar/24 6:02 PM
[XG32WCMS] 在HDMIsource 连接ASUS FA507笔记本，切换到分辨率2560*1440@120hz时，遮黑過程有杂音,MONMTK-677,124262,Bug,Open,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,B,,stan_chang,61825a23702bd0006a50d648,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,05/Mar/24 5:55 PM,16/Mar/24 12:48 AM,20/Mar/24 6:10 PM,,XG32WCMS,,0,,"現象：在HDMIsource 连接ASUS FA507笔记本，切换到分辨率2560*1440@120hz时，遮黑過程有杂音

手法：
    1. 在HDMIsource 连接ASUS FA507笔记本
    2. 分辨率2560*1440@1440hz切换到分辨率2560*1440@120hz时，遮黑過程有杂音",,Jason Huang,,,557058:33e8fddc-2108-410c-95ff-830c0f242236,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@127e30a7,,,,,,,,,,,,,,,,PMP,,,,,,,,,,,0|i0bzin:,Cannot recover even try any methods,,,,,,,,,,,,PVT,,,,,,,,,,https://amtran.atlassian.net/browse/XG32WCMS63-130,,,,,,,,,,To Do,05/Mar/24 5:55 PM
[XG32WCMS]繁體中文模式下，QR code 下方中文第一次個字不完整。,MONMTK-676,124231,Bug,Closed,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,C,Fixed,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,05/Mar/24 3:49 PM,14/Mar/24 9:15 AM,20/Mar/24 6:10 PM,12/Mar/24 11:46 PM,XG32WCMS,,0,,"Phenomenon:
        繁體中文模式下，QR code 下方中文第一次個字不完整

Setup:
        FW:012

Procedures:
        [Step1]選擇繁體中文。
        [Step2]Gaming->ASUS Display Widget Center

Expected Result: 

*Reproduce rate: 100",,Bruce Wu,Jason Huang,,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,557058:33e8fddc-2108-410c-95ff-830c0f242236,,,,,,,,,,05/Mar/24 3:49 PM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;QR code下方破圖.jpg;https://amtran.atlassian.net/rest/api/3/attachment/content/109650,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6a81ef35,,,Software,,,,,,,,,,,,,,,,,,,,,,,,0|i0bzbr:,Cannot recover even try any methods,,,,,,,,,,,,DVT,,,,,,,,,,,,2024-03-12 15:46:22.315,1_*:*_1_*:*_633407156_*|*_5_*:*_1_*:*_0,,,12/Mar/24 11:46 PM;557058:33e8fddc-2108-410c-95ff-830c0f242236;MCE013,,,,Done,12/Mar/24 11:46 PM
[XG32WCMS]使用Sniper功能的時候，OSD選單中的，PIP/PBP mode預設選項會自動變成選PBP mode。,MONMTK-675,124218,Bug,Closed,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,C,Fixed,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,05/Mar/24 2:14 PM,14/Mar/24 9:16 AM,20/Mar/24 6:10 PM,12/Mar/24 11:42 PM,XG32WCMS,,0,,"Phenomenon:
        使用Sniper或Sniper Night Vision功能的時候，OSD選單中的，PIP/PBP mode預設選項會自動變成選PBP mode。

Setup:
        FW:012

Procedures:
        [Step1]打開OSD選單，Gaming->Game Plus->Sniper或Sniper Night Vision->1.2x
        [Step2]打開OSD選單，PIP/PBP->PIP/PBP mode(預設選項會變成PBP mode)
Expected Result: 
        Sniper或Sniper Night Visione功能˙不該和PIP/PBP mode設定互相影響

*Reproduce rate: 100",,Bruce Wu,Jason Huang,,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,557058:33e8fddc-2108-410c-95ff-830c0f242236,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6978588,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0bz8v:,Cannot recover even try any methods,,,,,,,,,,,,DVT,,,,,,,,,,,,2024-03-12 15:42:29.954,1_*:*_1_*:*_638899884_*|*_5_*:*_1_*:*_0,,,12/Mar/24 11:42 PM;557058:33e8fddc-2108-410c-95ff-830c0f242236;MCE013,,,,Done,12/Mar/24 11:42 PM
[XG32WCMS]PBP模式下，還可以設定PIP尺寸。,MONMTK-674,124215,Bug,Closed,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,C,Fixed,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,05/Mar/24 1:54 PM,12/Mar/24 1:52 PM,20/Mar/24 6:10 PM,12/Mar/24 1:52 PM,XG32WCMS,,0,,"Phenomenon:
        PBP模式下，還可以設定PIP尺寸
Setup:
        FW:012 

Procedures:
        [Step1]打開OSD選單，PIP/PBP->PIP/PBP Mode->PBP
        [Step2]打開OSD選單，PIP/PBP->PIP/PBP Size->S->M->L

Expected Result: 
         PBP模式下，不應該能設定PIP尺寸。

*Reproduce rate: 100",,Bruce Wu,,,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,,,,,,,,,,,05/Mar/24 1:54 PM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;PBP模式下還可以調整PIP尺寸.mp4;https://amtran.atlassian.net/rest/api/3/attachment/content/109632,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@51cc7fe6,,,Software,,,,,,,,,,,,,,,,,,,,,,,,0|i0bz87:,Cannot recover even try any methods,,,,,,,,,,,,DVT,,,,,,,,,,https://amtran.atlassian.net/browse/XG32WCMS63-333,,,1_*:*_1_*:*_604661761_*|*_5_*:*_1_*:*_0,,,12/Mar/24 1:52 PM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;MCE013已解決,,,,Done,12/Mar/24 1:52 PM
[XG32WCMS]使用Game Plus下的功能FPS Counter、Crosshair、Sniper、Sniper Night Vision時，需要按兩次OK鍵才能叫出OSD選單。,MONMTK-673,124211,Bug,Closed,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,C,Fixed,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,05/Mar/24 1:21 PM,11/Mar/24 9:27 PM,20/Mar/24 6:10 PM,11/Mar/24 9:27 PM,XG32WCMS,,0,,"Phenomenon:
        使用Game Plus下的功能FPS Counter、Crosshair、Sniper、Sniper Night Vision時，需要按兩次OK鍵才  
        能叫出OSD選單。

Setup:
        FW:012

Procedures:
        [Step1]打開OSD選單(OK鍵一次)，Gaming->Game Plus->FPS Counter或Crosshair或Sniper或Sniper 
        Night Vision
        [Step2]打開OSD選單(OK鍵{color:#ff5630}兩{color}次)

Expected Result: 
        打開OSD選單的行為，應該只按一次OK鍵。

*Reproduce rate: 100",,Bruce Wu,,,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,,,,,,,,,,,05/Mar/24 1:20 PM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;案兩次OK鍵才打開選單.mp4;https://amtran.atlassian.net/rest/api/3/attachment/content/109627,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1762a766,,,Software,,,,,,,,,,,,,,,,,,,,,,,,0|i0bz7b:,Cannot recover even try any methods,,,,,,,,,,,,DVT,,,,,,,,,,,,,1_*:*_1_*:*_547586472_*|*_5_*:*_1_*:*_0,,,11/Mar/24 9:27 PM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;MCE013已解決,,,,Done,11/Mar/24 9:27 PM
[XG32WCMS]簡體中文和繁體中文設定下，OSD選單中六軸式飽和度調整內Bar條上方的文字錯位。,MONMTK-672,124206,Bug,Closed,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,C,Fixed,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,05/Mar/24 11:06 AM,12/Mar/24 8:08 PM,20/Mar/24 6:10 PM,12/Mar/24 8:08 PM,XG32WCMS,,0,,"Phenomenon:
        簡體中文和繁體中文設定下，OSD選單中六軸式飽和度調整內Bar條上方的文字錯位。

Setup:
        FW:012 

Procedures:
        [Step1]設定簡體中文或繁體中文。
        [Step2]打開OSD選單，色彩->六軸式飽和度調整->任一Bar條 (紅 綠 藍 C M Y)

Expected Result: 
        簡體中文和繁體中文下，Bar條上方的文字需修改到Bar條上方置中。

*Reproduce rate: 100",,Bruce Wu,,,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,,,,,,,,,,,05/Mar/24 11:02 AM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;Bar字體錯位.mp4;https://amtran.atlassian.net/rest/api/3/attachment/content/109622,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@33786181,,,Software,,,,,,,,,,,,,,,,,,,,,,,,0|i0bz67:,Cannot recover even try any methods,,,,,,,,,,,,DVT,,,,,,,,,,https://amtran.atlassian.net/browse/XG32WCMS63-332,,,1_*:*_1_*:*_637272686_*|*_5_*:*_1_*:*_0,,,12/Mar/24 8:05 PM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;MCE013已解決,,,,Done,12/Mar/24 8:08 PM
[XG32WCMS]OSD選單中，System Steup->Information(訊息內容與OSD TREE不符合),MONMTK-671,124205,Bug,Closed,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,C,Fixed,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,05/Mar/24 10:33 AM,14/Mar/24 9:17 AM,20/Mar/24 6:10 PM,12/Mar/24 11:41 PM,XG32WCMS,,0,,"Phenomenon:
        OSD選單中，System Steup->Information(訊息內容與OSD TREE不符合)

Setup:
         FW:012

Procedures:
        [Step1]打開OSD選單，System Steup->Information
Expected Result: 
        Model Name Series應該改成Model Name        

*Reproduce rate: 100",,Bruce Wu,Jason Huang,,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,557058:33e8fddc-2108-410c-95ff-830c0f242236,,,,,,,,,,05/Mar/24 10:34 AM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;與OSD選單不合的圖.png;https://amtran.atlassian.net/rest/api/3/attachment/content/109620,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1d0af1a3,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0bz5z:,Cannot recover even try any methods,,,,,,,,,,,,DVT,,,,,,,,,,,,2024-03-12 15:41:02.612,1_*:*_1_*:*_652042077_*|*_5_*:*_1_*:*_0,,,12/Mar/24 11:41 PM;557058:33e8fddc-2108-410c-95ff-830c0f242236;MCE013,,,,Done,12/Mar/24 11:41 PM
[XG32WCMS]OSD選單的Gaming 、Image、Color、Input Select、PIP/PBP、MyFavorite、System Setup字體變小。,MONMTK-670,124202,Bug,Closed,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,C,Fixed,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,05/Mar/24 10:00 AM,11/Mar/24 9:10 PM,20/Mar/24 6:10 PM,08/Mar/24 9:05 PM,XG32WCMS,,0,,"Phenomenon:
       OSD選單的Gaming 、Image、Color、Input Select、PIP/PBP、MyFavorite、System Setup字體變小

Setup:
       FW:012

Procedures:
       [Step1]打開OSD選單。
Expected Result: 
       上述選單內的字不該變小。

*Reproduce rate: 100",,Bruce Wu,Jason Huang,,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,557058:33e8fddc-2108-410c-95ff-830c0f242236,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2e3e9797,,,Software,,,,,,,,,,,,,,,,,,,,,,,,0|i0bz5b:,Cannot recover even try any methods,,,,,,,,,,,,DVT,,,,,,,,,,,,2024-03-08 13:05:49.361,1_*:*_1_*:*_299147567_*|*_5_*:*_1_*:*_0,,,08/Mar/24 9:05 PM;557058:33e8fddc-2108-410c-95ff-830c0f242236;MCE012,,,,Done,08/Mar/24 9:05 PM
[XG32WCMS]拔除Type C Source時，Input選單的Type C選項一直到Time out都沒消失，再次叫出INPUT選單時才消失。,MONMTK-669,124201,Bug,Open,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,B,,stan_chang,61825a23702bd0006a50d648,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,05/Mar/24 9:46 AM,14/Mar/24 8:36 PM,20/Mar/24 6:10 PM,,XG32WCMS,,0,,"Phenomenon:
        拔除Type C Source時，Input選單的Type C選項一直到Time out都沒消失，再次叫出INPUT選單時才消失。

Setup:
        FW:012
        預設接著DP Source

Procedures:
        [Step1] 插入Type C，此時Input選單出現Type C Source。
        [Step2] 拔除Type C Source，此時Input選單Type C Source沒有消失

Expected Result: 

*Reproduce rate: 100",,Bruce Wu,,,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5799159,,,,,,,,,,,,,,,,PMP,,,,,,,,,,,0|i0bz53:,Cannot recover even try any methods,,,,,,,,,,,,DVT,,,,,,,,,,,,,,,,,,,,To Do,05/Mar/24 9:46 AM
[XG32WCMS]Power Saving Mode和Standard Mode切換時，OSD選單會在黑屏時跳出又消失。,MONMTK-668,124199,Bug,Closed,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,C,Fixed,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,04/Mar/24 6:43 PM,11/Mar/24 9:27 PM,20/Mar/24 6:10 PM,11/Mar/24 9:26 PM,XG32WCMS,,0,,"Phenomenon:
        Power Saving Mode和Standard Mode切換時，OSD選單會在黑屏時跳出又消失。

Setup:
        FW:012

Procedures:
        [Step1]打開OSD選單，System Setup->Power Setting->Power Saving Mode->OK鍵
        [Step2]打開OSD選單，System Setup->Power Setting->Standard  Mode->OK鍵
        [Step3]反覆Step1 and Step2。

Expected Result:  

        OSD選單應該設定完就不顯示。

*Reproduce rate: 100",,Bruce Wu,,,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,,,,,,,,,,,04/Mar/24 6:45 PM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;OSD選單會在黑屏時跳出又消失 (1).mp4;https://amtran.atlassian.net/rest/api/3/attachment/content/109611,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ce6aad9,,,Software,,,,,,,,,,,,,,,,,,,,,,,,0|i0bz4n:,Cannot recover even try any methods,,,,,,,,,,,,DVT,,,,,,,,,,https://amtran.atlassian.net/browse/XG32WCMS63-283,,,1_*:*_1_*:*_614607840_*|*_5_*:*_1_*:*_0,,,,,,,Done,11/Mar/24 9:26 PM
[XG32WCMS]HDR模式下，打開Brightness Adjustable。調整Brightnes時，只有65~100有變化，0~64沒變化。 ,MONMTK-667,124198,Bug,Closed,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,C,Fixed,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,04/Mar/24 6:24 PM,08/Mar/24 1:39 PM,20/Mar/24 6:10 PM,07/Mar/24 5:46 PM,XG32WCMS,,0,,"Phenomenon:
        HDR模式下，打開Brightness Adjustable。調整Brightnes時，只有65~100有變化，0~64沒變化。

Setup:
        FW:012

Procedures:
        [Step1]電腦打開HDR模式。
        [Step2]打開OSD選單，Image->HDR Setting->Brightness Adjustable->ON
        [Step3]打開OSD選單，Image->HDR Setting->Brightness ->下鍵連按到0->上鍵連按到100

Expected Result: 
        HDR模式下，調整Brightnes時，0~100都該有相應的亮度。

*Reproduce rate: 100",,Bruce Wu,Jason Huang,,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,557058:33e8fddc-2108-410c-95ff-830c0f242236,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@135983a1,,,Software,,,,,,,,,,,,,,,,,,,,,,,,0|i0bz4f:,Cannot recover even try any methods,,,,,,,,,,,,DVT,,,,,,,,,,,,2024-03-07 09:46:47.323,1_*:*_1_*:*_256961836_*|*_5_*:*_1_*:*_0,,,07/Mar/24 5:46 PM;557058:33e8fddc-2108-410c-95ff-830c0f242236;MCE012,,,,Done,07/Mar/24 5:46 PM
[XG32WCMS]在Color Temp功能下使用User Mode調整RGB之後使用All Reset，RGB數值恢復但顏色沒變。,MONMTK-666,124197,Bug,Resolved,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,B,Fixed,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,04/Mar/24 5:59 PM,19/Mar/24 8:04 PM,20/Mar/24 6:10 PM,19/Mar/24 3:35 PM,XG32WCMS,,0,,"Phenomenon:
        在Color Temp功能下使用User Mode調整RGB之後使用All Reset，RGB數值恢復但顏色沒變。

Setup:
       FW:012

Procedures:
        [Step1]打開OSD選單，Color->Color Temp->R->連續按下到數值為0。
        [Step2]打開OSD選單，System Setup->All Reset->Yes

Expected Result:
        未進行存取設定情況下，All Reset之後應該將螢幕色彩及設定值都恢復原始設定。

*Reproduce rate: 100",,Bruce Wu,,,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,,,,,,,,,,,04/Mar/24 5:59 PM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;調整RGB顏色後，Reset沒恢復.mp4;https://amtran.atlassian.net/rest/api/3/attachment/content/109609,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2c17b094,,,Software,,,,,,,,,,,,,PMP,,,,,,,,,,,0|i0bz47:,Cannot recover even try any methods,,,,,,,,,,,,DVT,,,,,,,,,,https://amtran.atlassian.net/browse/XG32WCMS63-266,,,1_*:*_1_*:*_1287311963_*|*_5_*:*_1_*:*_0,,,19/Mar/24 6:57 PM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;0319校正過機台測試OK,,,,Done,19/Mar/24 3:35 PM
[XG32WCMS]PBP模式中，選擇PBP Source的左邊示意圖有缺口。,MONMTK-665,124196,Bug,Closed,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,C,Fixed,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,04/Mar/24 5:33 PM,11/Mar/24 9:56 PM,20/Mar/24 6:10 PM,11/Mar/24 9:56 PM,XG32WCMS,,0,,"Phenomenon:
        PBP模式中，選擇PBP Source的左邊示意圖有缺口。

Setup:

        FW:012

Procedures:
        [Step1]打開OSD選單，PIP/PBP->PIP/PBP Mode->PBP
        [Step2]打開OSD選單，PIP/PBP->PIP/PBP Source->Source為左邊示意圖

Expected Result: 
        PBP Source左邊示意圖須補上缺口。

*Reproduce rate: 100",,Bruce Wu,,,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,,,,,,,,,,,04/Mar/24 5:32 PM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;PBP左邊示意圖有缺口.png;https://amtran.atlassian.net/rest/api/3/attachment/content/109605,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1ac7d6d4,,,Software,,,,,,,,,,,,,,,,,,,,,,,,0|i0bz3z:,Cannot recover even try any methods,,,,,,,,,,,,DVT,,,,,,,,,,https://amtran.atlassian.net/browse/XG32WCMS63-334,,,1_*:*_1_*:*_620581537_*|*_5_*:*_1_*:*_0,,,11/Mar/24 9:56 PM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;MCE013已解決,,,,Done,11/Mar/24 9:56 PM
